slug,title
text,內容
media,媒體
design,設計
blocksy-blocks,Blocksy
widgets,小工具
theme,佈景主題
embed,嵌入內容
reusable,區塊版面配置
woocommerce,WooCommerce
woocommerce-product-elements,WooCommerce 產品元素
