kind,slug,value,name,origin,css_var
gradient,morning-salad,"linear-gradient(135deg, #B7F8DB 0%, #50A7C2 100%)",Morning Salad,theme,--wp--preset--gradient--morning-salad
gradient,night-call,"linear-gradient(135deg, #AC32E4 0%, #7918F2 48%, #4801FF 100%)",Night Call,theme,--wp--preset--gradient--night-call
gradient,mind-crawl,"linear-gradient(135deg, #473B7B 0%, #3584A7 51%, #30D2BE 100%)",Mind Crawl,theme,--wp--preset--gradient--mind-crawl
gradient,angel-care,"linear-gradient(135deg, #FFE29F 0%, #FFA99F 48%, #FF719A 100%)",Angel Care,theme,--wp--preset--gradient--angel-care
gradient,juicy-cake,"linear-gradient(to top, #e14fad 0%, #f9d423 100%)",Juicy Cake,theme,--wp--preset--gradient--juicy-cake
gradient,rich-metal,"linear-gradient(to right, #d7d2cc 0%, #304352 100%)",Rich Metal,theme,--wp--preset--gradient--rich-metal
gradient,mole-hall,"linear-gradient(340deg, #616161 0%, #9bc5c3 100%)",Mole Hall,theme,--wp--preset--gradient--mole-hall
gradient,cloudy-knoxville,"linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%)",Cloudy Knoxville,theme,--wp--preset--gradient--cloudy-knoxville
gradient,soft-grass,"linear-gradient(to top, #c1dfc4 0%, #deecdd 100%)",Soft Grass,theme,--wp--preset--gradient--soft-grass
gradient,saint-petersburg,"linear-gradient(135deg, #f5f7fa 0%, #c3cfe2 100%)",Saint Petersburg,theme,--wp--preset--gradient--saint-petersburg
gradient,everlasting-sky,"linear-gradient(135deg, #fdfcfb 0%, #e2d1c3 100%)",Everlasting Sky,theme,--wp--preset--gradient--everlasting-sky
gradient,kind-steel,"linear-gradient(340deg, #e9defa 0%, #fbfcdb 100%)",Kind Steel,theme,--wp--preset--gradient--kind-steel
gradient,over-sun,"linear-gradient(60deg, #abecd6 0%, #fbed96 100%)",Over Sun,theme,--wp--preset--gradient--over-sun
gradient,premium-white,"linear-gradient(to top, #d5d4d0 0%, #d5d4d0 1%, #eeeeec 31%, #efeeec 75%, #e9e9e7 100%)",Premium White,theme,--wp--preset--gradient--premium-white
gradient,clean-mirror,"linear-gradient(45deg, #93a5cf 0%, #e4efe9 100%)",Clean Mirror,theme,--wp--preset--gradient--clean-mirror
gradient,wild-apple,"linear-gradient(to top, #d299c2 0%, #fef9d7 100%)",Wild Apple,theme,--wp--preset--gradient--wild-apple
gradient,snow-again,"linear-gradient(to top, #e6e9f0 0%, #eef1f5 100%)",Snow Again,theme,--wp--preset--gradient--snow-again
gradient,confident-cloud,"linear-gradient(to top, #dad4ec 0%, #dad4ec 1%, #f3e7e9 100%)",Confident Cloud,theme,--wp--preset--gradient--confident-cloud
gradient,glass-water,"linear-gradient(to top, #dfe9f3 0%, white 100%)",Glass Water,theme,--wp--preset--gradient--glass-water
gradient,perfect-white,"linear-gradient(135deg, #E3FDF5 0%, #FFE6FA 100%)",Perfect White,theme,--wp--preset--gradient--perfect-white
duotone,dark-grayscale,"[""#000000"", ""#7f7f7f""]",深色灰階,default,--wp--preset--duotone--dark-grayscale
duotone,grayscale,"[""#000000"", ""#ffffff""]",灰階,default,--wp--preset--duotone--grayscale
duotone,purple-yellow,"[""#8c00b7"", ""#fcff41""]",紫色及黃色,default,--wp--preset--duotone--purple-yellow
duotone,blue-red,"[""#000097"", ""#ff4747""]",藍色及紅色,default,--wp--preset--duotone--blue-red
duotone,midnight,"[""#000000"", ""#00a5ff""]",午夜藍,default,--wp--preset--duotone--midnight
duotone,magenta-yellow,"[""#c7005a"", ""#fff278""]",洋紅色及黃色,default,--wp--preset--duotone--magenta-yellow
duotone,purple-green,"[""#a60072"", ""#67ff66""]",紫色及綠色,default,--wp--preset--duotone--purple-green
duotone,blue-orange,"[""#1900d8"", ""#ffa96b""]",藍色及橘色,default,--wp--preset--duotone--blue-orange
font-size,small,13px,小型,default,--wp--preset--font-size--small
font-size,medium,20px,中型,default,--wp--preset--font-size--medium
font-size,large,36px,大型,default,--wp--preset--font-size--large
font-size,x-large,42px,超大型,default,--wp--preset--font-size--x-large
font-size,small,13px,小型,theme,--wp--preset--font-size--small
font-size,medium,20px,中型,theme,--wp--preset--font-size--medium
font-size,large,30px,大型,theme,--wp--preset--font-size--large
font-size,x-large,50px,超大型,theme,--wp--preset--font-size--x-large
font-size,xx-large,80px,,theme,--wp--preset--font-size--xx-large
spacing,20,0.44rem,2 倍小,default,--wp--preset--spacing--20
spacing,30,0.67rem, 倍小,default,--wp--preset--spacing--30
spacing,40,1rem,小型尺寸,default,--wp--preset--spacing--40
spacing,50,1.5rem,中型尺寸,default,--wp--preset--spacing--50
spacing,60,2.25rem,大型尺寸,default,--wp--preset--spacing--60
spacing,70,3.38rem, 倍大,default,--wp--preset--spacing--70
spacing,80,5.06rem,2 倍大,default,--wp--preset--spacing--80
shadow,natural,"6px 6px 9px rgba(0, 0, 0, 0.2)",自然,default,--wp--preset--shadow--natural
shadow,deep,"12px 12px 50px rgba(0, 0, 0, 0.4)",深層,default,--wp--preset--shadow--deep
shadow,sharp,"6px 6px 0px rgba(0, 0, 0, 0.2)",銳利,default,--wp--preset--shadow--sharp
shadow,outlined,"6px 6px 0px -3px rgb(255, 255, 255), 6px 6px rgb(0, 0, 0)",框線,default,--wp--preset--shadow--outlined
shadow,crisp,"6px 6px 0px rgb(0, 0, 0)",清晰,default,--wp--preset--shadow--crisp
